Day,Date,Baseline,Compare to Normal,5-Day Average Compare to Normal
"Monday, December 14, 2020",12/14/2020,1,0.19039,0.208341739
"Tuesday, December 15, 2020",12/15/2020,1,0.25956,0.227489338
"Wednesday, December 16, 2020",12/16/2020,1,0.33929,0.251576488
"Thursday, December 17, 2020",12/17/2020,1,0.25904,0.257079232
"Friday, December 18, 2020",12/18/2020,1,0.41472,0.292600216
"Monday, December 21, 2020",12/21/2020,1,0.20378,0.295277796
"Tuesday, December 22, 2020",12/22/2020,1,0.24278,0.291921317
"Wednesday, December 23, 2020",12/23/2020,1,0.24339,0.272741174
"Thursday, December 24, 2020",12/24/2020,1,0.01138,0.223209011
"Friday, December 25, 2020",12/25/2020,1,0.00378,0.14102064
"Monday, December 28, 2020",12/28/2020,1,0.0848,0.117224523
"Tuesday, December 29, 2020",12/29/2020,1,0.08488,0.085645617
"Wednesday, December 30, 2020",12/30/2020,1,0.23432,0.083831064
"Thursday, December 31, 2020",12/31/2020,1,0.01411,0.084377117
"Friday, January 1, 2021",1/1/2021,1,0.01103,0.085826212
"Monday, January 4, 2021",1/4/2021,1,0.15011,0.098888534
"Tuesday, January 5, 2021",1/5/2021,1,0.16297,0.114506062
"Wednesday, January 6, 2021",1/6/2021,1,0.18015,0.103671966
"Thursday, January 7, 2021",1/7/2021,1,0.20896,0.142643394
"Friday, January 8, 2021",1/8/2021,1,0.20492,0.181422356
"Monday, January 11, 2021",1/11/2021,1,0.18443,0.188287164
"Tuesday, January 12, 2021",1/12/2021,1,0.21234,0.198161866
"Wednesday, January 13, 2021",1/13/2021,1,0.17345,0.196822343
"Thursday, January 14, 2021",1/14/2021,1,0.22978,0.200985096
"Friday, January 15, 2021",1/15/2021,1,0.32716,0.225432169
"Monday, January 18, 2021",1/18/2021,1,,0.235682149
"Tuesday, January 19, 2021",1/19/2021,1,0.21762,0.237002599
"Wednesday, January 20, 2021",1/20/2021,1,0.24139,0.253986393
"Thursday, January 21, 2021",1/21/2021,1,0.25316,0.259831971
"Friday, January 22, 2021",1/22/2021,1,0.21492,0.231773816
"Monday, January 25, 2021",1/25/2021,1,0.16725,0.218869997
"Tuesday, January 26, 2021",1/26/2021,1,0.12841,0.20102711
